Muscle;Nom proposé;Ce que tu avais écrit;Type;Bloc;Niveaux proposés;Niveaux hérités;Pourquoi ce niveau a été corrigé;Muscles secondaires;Matériel;Remplace;Consigne (ta remarque);À CORRIGER
Épaules;Élévations latérales avec sac ou bouteilles;élévation latéral;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Élévations latérales haltères · Élévations latérales câble;Une bouteille d'eau dans chaque main suffit — la charge utile est faible sur cet exercice. Monte les bras sur les côtés jusqu'à l'horizontale, coudes légèrement fléchis. Un sac tenu par la poignée quand les bouteilles deviennent trop légères.;
Épaules;Handstand push-up contre un mur;hand stand push up;poly;A;avancé;déb. inter. avancé;le mouvement lui-même bloque, pas la charge — pour déb./inter. le repli est « Pompes piquées », qui existe déjà;Triceps;aucun;Développé militaire barre · Développé militaire haltères;En équilibre sur les mains, dos ou ventre au mur selon ce que tu maîtrises. Descends la tête vers le sol et repousse. À ne tenter qu'une fois l'équilibre au mur maîtrisé.;
Épaules, Dos;Face pull avec sac;face pull;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Face pull câble;Buste penché en avant, un sac tenu à deux mains. Tire vers le visage en gardant les coudes hauts, écarte les mains en fin de mouvement.;
Épaules, Dos;Oiseau avec sac ou bouteilles;oiseau;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Oiseau haltères (deltoïde postérieur);Buste penché, bras tendus vers le sol, une bouteille ou un sac dans chaque main. Ouvre les bras sur les côtés sans hausser les épaules.;
Fessiers;Pont fessier avec sac ou unilatéral;ponty fessier au sol avec sac ou unilatéral / pont fessier au sol avec sac ou unilatéral;poly;B;déb. inter. avancé;déb. inter. avancé;;Ischio-jambiers;aucun;Hip thrust barre · Hip thrust machine;Allongé sur le dos, pieds au sol, monte le bassin en serrant les fessiers. Pose un sac chargé sur les hanches, ou fais-le sur une seule jambe pour durcir.;
Ischio-jambiers;Leg curl au sol avec sac;leg curl allongé sur le sol;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Leg curl assis · Leg curl allongé;À plat ventre, serre un sac chargé entre les pieds et ramène les talons vers les fesses.;
Ischio-jambiers, Dos;Good morning avec sac;good morning avec sac;poly;B;déb. inter. avancé;avancé;charge réglable par le sac → accessible aux trois niveaux;Fessiers;aucun;Good morning;Un sac chargé sur le haut du dos, dos plat, genoux légèrement fléchis. Pousse les hanches vers l'arrière jusqu'à sentir l'étirement des ischios, puis reviens.;
Ischio-jambiers, Fessiers;Soulevé de terre roumain avec sac;soulevé de terre roumain sac;poly;B;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Dos;aucun;Soulevé de terre roumain barre;Un sac chargé dans chaque main. Jambes quasi tendues, pousse les hanches vers l'arrière en gardant le dos plat. Descends jusqu'à l'étirement des ischios, pas plus bas.;
Mollets;Mollets assis avec sac;molet unilatérale lesté avec sac a dos;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Mollets assis machine;Assis sur une chaise, genoux fléchis à 90°, un sac chargé posé sur les cuisses juste au-dessus des genoux. Monte les talons le plus haut possible, descends en étirement complet. Genou fléchi = c'est le soléaire qui travaille, pas les jumeaux.;
Mollets;Mollets unilatéraux avec sac;molet unilatérale lesté avec sac a dos;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Mollets lestés une jambe · Mollets debout machine · Mollets leg press;Sur une jambe, avant-pied sur une marche, monte le plus haut possible et contrôle la descente. Sac à dos chargé pour durcir.;
Poitrine;Dips entre deux chaises (buste penché);dips entre 2 chaises;poly;B;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Triceps, Épaules;aucun;Dips lestés aux barres parallèles · Dips (poitrine);Mains sur deux chaises stables, buste penché en avant pour cibler les pectoraux. Pieds éloignés ou surélevés pour durcir, sac à dos chargé ensuite. Vérifie que les chaises ne peuvent pas glisser.;
Poitrine;Pompe large;pompe large;poly;C;déb. inter. avancé;déb. inter. avancé;;Triceps, Épaules;aucun;Écarté poulie · Écarté incliné haltères · Pec deck;Pompe mains nettement plus larges que les épaules : l'amplitude se fait davantage sur les pectoraux. Sac à dos chargé si c'est trop simple.;
Poitrine;Pompe large pieds surélevés (chaise);pompe large sur élevé;poly;B;déb. inter. avancé;déb. inter. avancé;;Triceps, Épaules;aucun;Développé incliné haltères;Pompe large avec les pieds sur une chaise — plus les pieds sont hauts, plus le haut des pectoraux travaille. Sac à dos chargé ensuite.;
Poitrine;Pompe pieds surélevés (chaise);pompe pieds surélevé / pompe sur élevé;poly;B;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Triceps, Épaules;aucun;Pompe pieds surélevés · Développé incliné barre;Pompe classique avec les pieds sur une chaise. Sac à dos chargé si c'est trop simple.;
Quadriceps;Front squat avec sac;Front squat sac;poly;A;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Fessiers, Abdominaux, Dos;aucun;Front squat barre;Un sac chargé tenu contre la poitrine, coudes hauts. Descends en gardant le buste droit.;
Quadriceps;Leg extension assis avec sac;leg extension;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Leg extension;Assis sur une chaise, un sac chargé accroché aux pieds ou posé sur les chevilles. Tends les jambes, contrôle la descente.;
Quadriceps, Fessiers;Fente bulgare (chaise);fentes bulgare;poly;B;déb. inter. avancé;déb. inter. avancé;;Ischio-jambiers;aucun;Fente bulgare haltères · Leg press · Hack squat machine;Pied arrière posé sur une chaise, descends sur la jambe avant. Sac à dos chargé, ou un sac dans chaque main, pour ajouter du poids.;
Quadriceps, Fessiers;Fente marchée avec sac;fentes marché;poly;B;déb. inter. avancé;déb. inter. avancé;;Ischio-jambiers;aucun;Fente marchée haltères;Sac à dos chargé, avance en fentes en alternant les jambes. Genou arrière proche du sol sans le toucher.;
Quadriceps, Fessiers;Squat avec sac;squat sac;poly;A;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Ischio-jambiers, Mollets, Dos;aucun;Squat barre;Sac à dos chargé sur le dos, ou tenu contre la poitrine. Descends au moins jusqu'aux cuisses parallèles, dos plat.;
Triceps;Dips entre deux chaises (buste droit);dips entre 2 chaises;poly;B;déb. inter. avancé;déb. inter. avancé;;Épaules;aucun;Dips triceps machine;Mains sur deux chaises stables, buste droit et coudes serrés pour cibler les triceps. Pieds éloignés ou surélevés pour durcir, sac à dos chargé ensuite. Vérifie que les chaises ne peuvent pas glisser.;
Triceps;Extension triceps avec sac;extension triceps sac;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Extension triceps élastique;Un sac chargé tenu à deux mains derrière la nuque, coudes hauts et fixes. Tends les bras vers le haut.;
Triceps;Kickback triceps avec sac;extension triceps derriere la tete;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Triceps poulie haute corde;Buste penché en avant, coude fixé le long du corps, bras replié. Tends l'avant-bras vers l'arrière jusqu'à verrouiller le coude et marque un temps — c'est en fin de course que le triceps travaille le plus sur ce mouvement. Un sac par la poignée dans chaque main, ou une main après l'autre en appui sur une chaise.;
Triceps;Skull crusher avec sac;Skull crusher sac;iso;B;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;—;aucun;Skull crusher barre EZ;Allongé au bord d'un lit ou d'une chaise, sac chargé tenu à deux mains. Coudes fixes, descends le sac vers le front.;
Dos;Tirage australien;(ajout proposé);poly;B;déb.;—;entrée en matière du tirage pour un débutant;Biceps, Épaules;aucun;Tirage vertical pronation (déb.);Sous une table solide ou une barre basse, corps incliné et pieds au sol. Plus les pieds sont loin, plus c'est dur.;
Poitrine;Pompe;(entrée EXISTANTE à élargir);poly;B;déb. inter. avancé;déb. inter. avancé;un avancé charge simplement son sac à dos — pas besoin d'une entrée séparée;Triceps, Épaules;aucun;(on ne crée rien, on élargit les niveaux);Avancé : sac à dos chargé sur le haut du dos pour rester dans la plage de répétitions.;
Abdominaux;Crunch au sol;(entrée EXISTANTE à élargir);iso;C;déb. inter. avancé;déb. inter. avancé;même logique que la pompe : le sac tenu dans les mains fait la charge;—;aucun;(on ne crée rien, on élargit les niveaux);Inter./avancé : tiens un sac chargé contre la poitrine ou bras tendus derrière la tête.;
Triceps;Pompe diamant;(entrée EXISTANTE à élargir);iso;C;déb. inter. avancé;déb. inter.;un sac chargé sur le dos rend la charge réglable, comme sur la pompe classique;Poitrine;aucun;(on ne crée rien, on élargit les niveaux);Avancé : sac à dos chargé sur le haut du dos.;
