Muscle;Exercice à remplacer;Type;Occurrences;Niveaux;Matériel exigé;Manque à;Alternatives sans aucun matériel (même muscle);SUBSTITUTION (à remplir);Remarque
Dos;Rowing barre;poly;65;inter. avancé;Barre olympique;street complet · haltères seuls;AUCUNE — exercice à créer;rowing sac ;rowing normal mais on a des sac dans chaque main pour tirer 
Dos;Rowing haltère unilatéral;poly;47;déb. inter. avancé;Haltères;street complet;AUCUNE — exercice à créer;rowing unilatéral;rowing normal mais on a un sac dans la main pour tirer 
Dos;Tirage vertical pronation;poly;45;déb. inter. avancé;Tirage vertical  OU  Câble poulie haute;street complet · home_barbell · haltères seuls;AUCUNE — exercice à créer;traction pronation (sans matos);avec un coin de table, crossbar de but, sous des escaliers ect, sac a dos si trop simple pour rajouté du poids)
Dos;Traction supination (chin-up);poly;16;inter. avancé;Barre de traction;haltères seuls;AUCUNE — exercice à créer;traction supination (sans matos);avec un coin de table, crossbar de but, sous des escaliers ect, sac a dos si trop simple pour rajouté du poids)
Épaules;Développé militaire barre;poly;178;inter. avancé;Barre olympique;street complet · haltères seuls;Pompes piquées (déb. inter.);hand stand push up;contre un mur 
Épaules;Élévations latérales câble;iso;16;déb. inter. avancé;Câble poulie basse  OU  Station câbles double;street complet · home_barbell · haltères seuls;Pompes piquées (déb. inter.);élévation latéral;avec bouteille d eau ou sac 
Épaules;Développé militaire haltères;poly;9;déb. inter. avancé;Haltères;street complet;Pompes piquées (déb. inter.);hand stand push up;contre un mur 
Épaules;Face pull câble;iso;3;déb. inter. avancé;Câble poulie haute  OU  Station câbles double;street complet · home_barbell · haltères seuls;Pompes piquées (déb. inter.);face pull ;avec un sac si pas d hatere, penche en avant et tut tire coude haut 
Fessiers;Hip thrust machine;poly;71;déb. inter. avancé;Hip thrust machine;street complet · home_barbell · haltères seuls;Pont fessier au sol (déb.);pont fessier au sol avec sac ou unilatéral;le sac avec du poid au niveau des hacnhes je crois 
Fessiers;Abducteur machine;iso;36;déb. inter. avancé;Abducteur machine;street complet · home_barbell · haltères seuls;Pont fessier au sol (déb.);abducteur allongé;allongé su rla coté et abduction de la jambe, si trop simple on peut maintenir un sac dessus 
Ischio-jambiers;Soulevé de terre;poly;107;inter. avancé;Barre olympique;street complet · haltères seuls;Nordic curl (inter. avancé);soulevé de terre avec sac;si pas d haltèere ni de barrre on peut prendre des sac dans chaque main 
Ischio-jambiers;Soulevé de terre roumain barre;poly;77;inter. avancé;Barre olympique;street complet · haltères seuls;Nordic curl (inter. avancé);soulevé de terre roumain sac;si pas d haltèere ni de barrre on peut prendre des sac dans chaque main 
Ischio-jambiers;Leg curl assis;iso;63;déb. inter. avancé;Leg curl assis;street complet · home_barbell · haltères seuls;Nordic curl (inter. avancé);leg curl allongé sur le sol;un sac entre les jambes et curl
Ischio-jambiers;Leg curl allongé;iso;26;déb. inter. avancé;Leg curl allongé;street complet · home_barbell · haltères seuls;Nordic curl (inter. avancé);leg curl allongé sur le sol;un sac entre les jambes et curl
Mollets;Mollets debout machine;iso;124;déb. inter. avancé;Mollets debout machine;street complet · home_barbell · haltères seuls;Mollets unilatéraux poids du corps (déb. inter.);molet unilatérale lesté avec sac a dos ;sac a dos sur le dos lesté 
Mollets;Mollets assis machine;iso;81;déb. inter. avancé;Mollets assis machine;street complet · home_barbell · haltères seuls;Mollets unilatéraux poids du corps (déb. inter.);molet unilatérale lesté avec sac a dos ;sac a dos sur le dos lesté 
Mollets;Mollets leg press;iso;58;déb. inter. avancé;Leg press;street complet · home_barbell · haltères seuls;Mollets unilatéraux poids du corps (déb. inter.);molet unilatérale lesté avec sac a dos ;sac a dos sur le dos lesté 
Pectoraux;Développé couché barre;poly;109;inter. avancé;Barre olympique + Banc plat  OU  Barre olympique + Banc plat + Rack squat  OU  Barre olympique + Banc plat + Rack demi-cage;street complet · home_barbell · haltères seuls;Pompe (déb. inter.);pompe ;lesté sac à dos si besoin 
Pectoraux;Développé incliné barre;poly;85;inter. avancé;Barre olympique + Banc réglable;street complet · haltères seuls;Pompe (déb. inter.);pompe sur élevé ;sur chaise pour sur elevé et sac a dos si besoin
Pectoraux;Écarté incliné haltères;iso;57;déb. inter. avancé;Haltères + Banc réglable;street complet;Pompe (déb. inter.);pompe large;lesté sac à dos si besoin 
Pectoraux;Développé incliné haltères;poly;28;déb. inter. avancé;Haltères + Banc réglable;street complet;Pompe (déb. inter.);pompe large sur élevé ;sur chaise pour sur elevé et sac a dos si besoin
Pectoraux;Développé couché haltères;poly;18;déb. inter. avancé;Haltères + Banc plat;street complet · home_barbell · haltères seuls;Pompe (déb. inter.);pompe ;sac a dos sur le dos lesté  si besoin
Pectoraux;Dips (poitrine);poly;15;inter. avancé;Barres parallèles  OU  Barre de dips;home_barbell · haltères seuls;Pompe (déb. inter.);dips entre 2 chaises;on peut augmenter la difficulté en eloignat le plus possible ses pied et ou les surelvé et aussi mettre un sac a dos et ettre des trucs dedans 
Pectoraux;Pec deck;iso;14;déb. inter. avancé;Pec deck;street complet · home_barbell · haltères seuls;Pompe (déb. inter.);pompe large;sac a dos sur le dos lesté si besoin
Quadriceps;Leg extension;iso;146;déb. inter. avancé;Leg extension;street complet · home_barbell · haltères seuls;Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.);leg extension ;sur un chaise assis et un sac a dos au bout des pieds
Quadriceps;Squat barre;poly;109;inter. avancé;Barre olympique + Rack squat  OU  Barre olympique + Rack demi-cage;street complet · haltères seuls;Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.);squat sac;sac a dos lesté si trop simple
Quadriceps;Front squat barre;poly;85;inter. avancé;Barre olympique + Rack squat  OU  Barre olympique + Rack demi-cage;street complet · haltères seuls;Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.);Front squat sac;sac dans les main plutot que la barre 
Quadriceps;Leg press;poly;38;déb. inter. avancé;Leg press;street complet · home_barbell · haltères seuls;Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.);fentes bulgare ;avec sac a dos dans les mains pour ajouté du poids si besoin
Quadriceps;Hack squat machine;poly;16;inter. avancé;Hack squat machine;street complet · home_barbell · haltères seuls;Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.);fentes bulgare ;avec sac a dos dans les mains pour ajouté du poids si besoin
Triceps;Skull crusher barre EZ;iso;65;inter. avancé;Barre EZ + Banc plat;street complet · home_barbell · haltères seuls;Pompe diamant (déb. inter.);Skull crusher sac;au bout du lit ou d une chaise, sac dans les mains
Triceps;Triceps poulie haute corde;iso;37;déb. inter. avancé;Câble poulie haute  OU  Station câbles double;street complet · home_barbell · haltères seuls;Pompe diamant (déb. inter.);extension triceps derriere la tete;sur une chaise, sac dans les main et main dans le dos, extension 
